,Precision,Precision,Precision,Recall,Recall,Recall,F1-Score,F1-Score,F1-Score
Model,K-Nearest Neighbors,Logistic Regression,Random Forest,K-Nearest Neighbors,Logistic Regression,Random Forest,K-Nearest Neighbors,Logistic Regression,Random Forest
Class,,,,,,,,,
BenignTraffic,0.13,0.16,0.23,0.42,0.84,0.92,0.2,0.27,0.37
DDoS-ACK_Fragmentation,0.79,0.8,0.82,0.76,0.74,0.74,0.78,0.77,0.78
DDoS-HTTP_Flood,0.5,0,0.52,0.22,0,0.22,0.31,0,0.31
DDoS-ICMP_Flood,0.53,0.51,0.6,0.98,0.98,0.98,0.69,0.67,0.75
DDoS-ICMP_Fragmentation,0.85,0.67,0.91,0.22,0.04,0.4,0.35,0.08,0.56
DDoS-PSHACK_Flood,0.8,0.71,0.77,0.98,1,1,0.88,0.83,0.87
DDoS-RSTFINFlood,1,0.98,0.98,1,1,1,1,0.99,0.99
DDoS-SYN_Flood,0,0.27,0.28,0,1,1,0,0.43,0.44
DDoS-SlowLoris,0.5,0,0.62,0.06,0,0.16,0.11,0,0.25
DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,0,0
DDoS-TCP_Flood,0,0.41,0.45,0,1,1,0,0.58,0.62
DDoS-UDP_Flood,0,0.31,0.33,0,1,0.92,0,0.47,0.49
DDoS-UDP_Fragmentation,0.98,0.81,0.98,0.92,0.92,0.92,0.95,0.86,0.95
DoS-HTTP_Flood,0.4,0,0.52,0.32,0,0.48,0.36,0,0.5
DoS-SYN_Flood,0.27,0,0.14,1,0,0.02,0.42,0,0.04
DoS-TCP_Flood,0.23,0,0.25,0.96,0,0.02,0.38,0,0.04
DoS-UDP_Flood,0.3,0.05,0.45,1,0.02,0.26,0.46,0.03,0.33
MITM-ArpSpoofing,0,0,0.5,0,0,0.08,0,0,0.14
Macro Avg,0.38,0.26,0.47,0.4,0.38,0.46,0.31,0.27,0.39
Mirai-greeth_flood,0.5,0.51,0.49,0.94,1,0.84,0.65,0.67,0.62
Mirai-greip_flood,0.25,0,0.4,0.04,0,0.12,0.07,0,0.18
Mirai-udpplain,0.67,0,0.4,0.04,0,0.04,0.08,0,0.07
Recon-HostDiscovery,0.5,0.29,0.46,0.04,0.04,0.32,0.07,0.07,0.38
Recon-OSScan,0.2,0,0.25,0.02,0,0.02,0.04,0,0.04
Recon-PingSweep,0,0,0,0,0,0,0,0,0
Recon-PortScan,0,0,0.5,0,0,0.04,0,0,0.07
Weighted Avg,0.39,0.27,0.49,0.41,0.39,0.47,0.32,0.28,0.4